session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA1 Jeanne 1711.51 4.47900000000004 1.FA1.10 10 2 NR 10_2_NR 1.FA1.10_2_NR
1.FA1 Jeanne 1715.99 6.16399999999999 1.FA1.10 10 2 1 10_2_1 1.FA1.10_2_1
1.FA1 Jeanne 1722.155 6.52700000000004 1.FA1.10 10 1 7 10_1_7 1.FA1.10_1_7
1.FA1 Jeanne 1728.683 2.53800000000001 1.FA1.10 10 1 5 10_1_5 1.FA1.10_1_5
1.FA1 Jeanne 1731.222 2.90100000000007 1.FA1.10 10 1 3 10_1_3 1.FA1.10_1_3
1.FA1 Jeanne 1747.542 6.16399999999999 1.FA1.10 10 3 1 10_3_1 1.FA1.10_3_1
1.FA1 Jeanne 1765.312 7.61500000000001 1.FA1.06 6 2 1 6_2_1 1.FA1.06_2_1
1.FA1 Jeanne 1781.248 2.53800000000001 1.FA1.06 6 2 5 6_2_5 1.FA1.06_2_5
1.FA1 Jeanne 1783.787 5.43899999999985 1.FA1.06 6 1 7 6_1_7 1.FA1.06_1_7
1.FA1 Jeanne 1789.227 2.17499999999995 1.FA1.06 6 1 6 6_1_6 1.FA1.06_1_6
1.FA1 Jeanne 1791.403 3.26299999999992 1.FA1.06 6 1 4 6_1_4 1.FA1.06_1_4
1.FA1 Jeanne 1794.667 2.17499999999995 1.FA1.06 6 1 2 6_1_2 1.FA1.06_1_2
1.FA1 Jeanne 1796.843 3.62599999999998 1.FA1.06 6 1 NR 6_1_NR 1.FA1.06_1_NR
1.FA2 Estelle 33.25 2.49900000000002 1.FA2.07 7 1 1 7_1_1 1.FA2.07_1_1
1.FA2 Estelle 523.264 5.49800000000005 1.FA2.07 7 2 1 7_2_1 1.FA2.07_2_1
1.FA2 Estelle 562.37 75.8040000000001 1.FA2.05 5 1 1 5_1_1 1.FA2.05_1_1
1.FA2 Estelle 638.175 12.498 1.FA2.05 5 1 3 5_1_3 1.FA2.05_1_3
1.FA2 Estelle 658.675 13.998 1.FA2.05 5 1 2 5_1_2 1.FA2.05_1_2
1.FA2 Estelle 672.674 18 1.FA2.05 5 2 2 5_2_2 1.FA2.05_2_2
1.FA2 Estelle 693.677 21.4970000000001 1.FA2.05 5 2 1 5_2_1 1.FA2.05_2_1
1.FA2 Estelle 746.827 7.99800000000005 1.FA2.07 7 1 2 7_1_2 1.FA2.07_1_2
1.FA2 Estelle 754.826 38.5 1.FA2.07 7 1 NR 7_1_NR 1.FA2.07_1_NR
1.FA2 Estelle 793.327 8.49900000000002 1.FA2.07 7 1 4 7_1_4 1.FA2.07_1_4
1.FA2 Estelle 801.827 5.5 1.FA2.07 7 1 2 7_1_2 1.FA2.07_1_2
1.FA2 Estelle 807.328 14.9970000000001 1.FA2.07 7 1 3 7_1_3 1.FA2.07_1_3
1.FA2 Estelle 822.326 11 1.FA2.07 7 1 1 7_1_1 1.FA2.07_1_1
1.FA2 Estelle 836.326 5.90300000000002 1.FA2.08 8 3 NR 8_3_NR 1.FA2.08_3_NR
1.FA2 Estelle 842.23 12.9009999999998 1.FA2.08 8 1 7 8_1_7 1.FA2.08_1_7
1.FA2 Estelle 855.132 4.49900000000002 1.FA2.08 8 2 1 8_2_1 1.FA2.08_2_1
1.FA2 Estelle 859.632 14.998 1.FA2.08 8 1 8 8_1_8 1.FA2.08_1_8
1.FA2 Estelle 874.631 9.5 1.FA2.08 8 1 7 8_1_7 1.FA2.08_1_7
1.FA2 Estelle 884.132 13.999 1.FA2.08 8 1 6 8_1_6 1.FA2.08_1_6
1.FA2 Estelle 898.132 11.998 1.FA2.08 8 1 5 8_1_5 1.FA2.08_1_5
1.FA2 Estelle 910.131 16.5 1.FA2.08 8 1 4 8_1_4 1.FA2.08_1_4
1.FA2 Estelle 926.632 11.499 1.FA2.08 8 1 1 8_1_1 1.FA2.08_1_1
1.FA2 Estelle 938.132 12.5 1.FA2.08 8 1 3 8_1_3 1.FA2.08_1_3
1.FA2 Estelle 950.633 8.99799999999982 1.FA2.08 8 1 NR 8_1_NR 1.FA2.08_1_NR
1.FA2 Estelle 959.632 15.402 1.FA2.08 8 1 2 8_1_2 1.FA2.08_1_2
1.FA2 Estelle 975.035 0.998000000000047 1.FA2.08 8 1 NR 8_1_NR 1.FA2.08_1_NR
1.FA2 Estelle 977.033 7.5 1.FA2.09 9 2 3 9_2_3 1.FA2.09_2_3
1.FA2 Estelle 984.534 10.499 1.FA2.09 9 2 2 9_2_2 1.FA2.09_2_2
1.FA2 Estelle 995.034 8 1.FA2.09 9 2 1 9_2_1 1.FA2.09_2_1
